Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,21275-00-40G,AMD,Sapphire RX Vega 64 8GB LC,38,101,3627,https://gpu.userbenchmark.com/SpeedTest/353890/Radeon-RX-Vega
GPU,RX-VEGMXWFXW,AMD,XFX RX Vega 64 8GB LC,38,101,3627,https://gpu.userbenchmark.com/SpeedTest/353890/Radeon-RX-Vega
GPU,,AMD,RX 6600-XT,39,99.8,21952,https://gpu.userbenchmark.com/AMD-RX-6600-XT/Rating/4117
GPU,,Nvidia,RTX 2060S (Super),40,99.5,285946,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,GV-N206SGAMING OC-8GC,Gigabyte,Gigabyte RTX 2060 Super 8GB Gaming,40,99.5,285946,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,08G-P4-3163-KR,EVGA,EVGA RTX 2060 Super 8GB SC XC Ultra Gaming,40,99.5,285946,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,RTX 2060 Super Gaming X,MSI,MSI RTX 2060 Super 8GB Gaming X,40,99.5,285946,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,GV-N206SWF2OC-8GD,Gigabyte,Gigabyte RTX 2060 Super 8GB Windforce OC,40,99.5,285946,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,GV-N206SAORUS-8GC,Gigabyte,Gigabyte RTX 2060 Super 8GB Aorus,40,99.5,285946,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,08G-P4-3062-KR,EVGA,EVGA RTX 2060 8GB Super SC Black,40,99.5,285946,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,08G-P4-3067,EVGA,EVGA RTX 2060 Super 8GB SC Ultra Gaming,40,99.5,285946,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,ZT-T20610E-10M,Zotac,Zotac RTX 2060 Super 8GB Mini Gaming,40,99.5,285946,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,,Nvidia,RTX 3060,41,98.3,118109,https://gpu.userbenchmark.com/Nvidia-RTX-3060/Rating/4105
GPU,,Nvidia,RTX 2070S (Super Mobile),42,97,5799,https://gpu.userbenchmark.com/SpeedTest/1164515/NVIDIA-GeForce-RTX-2070-Super
GPU,,Nvidia,GTX 1070-Ti,43,96.4,359706,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,ROG-STRIX-GTX1070TI-A8G-GAMING,Asus,Asus GTX 1070 Ti 8GB STRIX,43,96.4,359706,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
