Состояние,Бренд,Оперативная память (ГБ),Частота процессора,Количество ядер,Видеокарта,Тип,Накопитель,Объем накопителя,Price
Б/у,Apple,8,2.2,4,4.7,Ноутбук,Другой тип накопителя,128,70000
Б/у,Apple,8,1.7,2,4.7,Ноутбук,SSD,256,55000
Б/у,NotApple,2,2.2,2,4.7,Ноутбук,HDD,256,15000
Б/у,NotApple,16,2.7,4,4.7,Ультрабук,SSD,256,55000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,256,8699
Б/у,NotApple,8,2.2,4,42.6,Ноутбук,HDD,1000,40000
Б/у,NotApple,4,2.2,4,28,Ноутбук,SSD,256,35000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,26000
Б/у,NotApple,8,1.2,4,4.7,Ультрабук,SSD,512,45000
Б/у,NotApple,4,1.7,2,4.7,Ультрабук,HDD,512,19500
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,128,23000
Б/у,NotApple,16,2.2,12,46.7,Ноутбук,HDD + SSD,1000,90000
Новый,NotApple,8,3.2,2,4.7,Ноутбук,SSD,256,30000
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,HDD,256,13500
На запчасти,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,6500
Новый,NotApple,8,2.2,6,4.7,Ноутбук,SSD,512,48000
Б/у,NotApple,6,2.7,4,208,Ноутбук,HDD,512,14999
Б/у,Apple,8,3.2,2,4.7,Ноутбук,SSD,256,98800
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,HDD,1000,18500
Б/у,NotApple,8,2.2,4,4.7,Ноутбук + планшет,SSD,128,46800
Б/у,NotApple,16,3.2,6,106,Ноутбук,SSD,1000,150000
Б/у,Apple,8,2.2,4,4.7,Ноутбук,HDD,512,16000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,256,32999
Б/у,NotApple,2,1.2,2,4.7,Ноутбук,HDD,128,12000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,Apple,8,1.2,2,4.7,Ноутбук,HDD,256,70000
Б/у,Apple,4,2.7,2,4.7,Ноутбук,HDD,512,29000
Б/у,NotApple,6,2.7,4,4.7,Ноутбук,HDD,512,14000
Б/у,Apple,8,2.2,8,4.7,Ноутбук,SSD,128,62400
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,SSD,256,42000
Б/у,Apple,8,2.7,4,4.7,Ультрабук,SSD,256,52000
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,HDD,512,15000
Б/у,Apple,8,3.2,8,4.7,Ноутбук,SSD,512,124800
Б/у,NotApple,8,2.2,8,4.7,Ультрабук,SSD,256,48000
Б/у,Apple,8,2.2,2,4.7,Ноутбук,SSD,128,59000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,SSD,128,30000
Б/у,NotApple,6,2.7,4,4.7,Ноутбук,SSD,512,11500
Б/у,NotApple,6,2.2,4,4.7,Ноутбук,HDD,512,18000
Б/у,Apple,8,2.7,2,4.7,Ультрабук,SSD,128,32000
Новый,NotApple,4,1.2,2,16.7,Ноутбук,SSD,256,40000
Б/у,Apple,8,3.2,8,4.7,Ноутбук,HDD,256,104000
Б/у,Apple,16,3.2,4,110,Ноутбук,SSD,256,65000
Б/у,NotApple,16,2.2,8,60.9,Ноутбук,HDD + SSD,1000,75000
Б/у,NotApple,8,2.2,2,4.7,Ноутбук,HDD,512,12000
Б/у,Apple,4,2.2,2,4.7,Ноутбук,SSD,128,38000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,256,15000
Б/у,NotApple,16,2.2,8,46.7,Ноутбук,HDD + SSD,1000,80000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,16500
Б/у,NotApple,4,2.7,2,4.7,Ноутбук,HDD,512,8000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,256,13000
Б/у,NotApple,6,2.7,4,4.7,Ноутбук,HDD + SSD,1000,54392
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,18000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,18000
Б/у,NotApple,16,3.2,6,98.3,Ноутбук,SSD,512,150800
Б/у,NotApple,8,2.2,2,4.7,Ноутбук,HDD + SSD,128,15999
Б/у,Apple,4,2.2,4,4.7,Ультрабук,SSD,256,122000
Б/у,NotApple,8,3.2,4,4.7,Ноутбук,HDD,1000,52000
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,SSD,128,25000
Требуется ремонт,NotApple,8,3.2,4,4.7,Ультрабук,SSD,128,25000
Б/у,NotApple,2,3.2,2,4.7,Ноутбук,HDD,512,15000
Б/у,NotApple,8,3.2,4,4.7,Ноутбук,HDD,1000,52000
Б/у,NotApple,8,2.2,6,4.7,Ноутбук,SSD,512,48500
Б/у,Apple,8,3.2,8,4.7,Ноутбук,HDD,256,104000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,16,2.2,12,46.7,Ноутбук,HDD + SSD,1000,90000
Б/у,NotApple,8,3.2,4,4.7,Ноутбук,Другой тип накопителя,512,22000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,23800
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,15500
Б/у,NotApple,8,1.7,4,4.7,Ноутбук,HDD,512,13000
Б/у,NotApple,8,2.7,2,4.7,Ноутбук,HDD + SSD,1000,18000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,6,2.7,4,4.7,Ноутбук,HDD + SSD,128,34000
Б/у,NotApple,4,3.2,4,4.7,Ноутбук,SSD,512,16000
Новый,NotApple,8,3.2,6,72.6,Ноутбук,SSD,512,114400
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Новый,NotApple,16,2.2,4,7.72,Ультрабук,SSD,512,99000
Б/у,NotApple,8,2.7,2,4.7,Ноутбук,HDD + SSD,512,48000
Б/у,NotApple,16,2.7,4,4.7,Ультрабук,SSD,256,62000
Б/у,NotApple,8,2.7,4,4.7,Ноутбук,SSD,256,49000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,256,46000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,HDD,512,31000
Б/у,NotApple,16,2.2,4,4.7,Ультрабук,SSD,512,65000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,16,2.2,8,60.9,Ноутбук,HDD + SSD,1000,75000
Б/у,NotApple,16,1.7,4,4.7,Ноутбук,SSD,512,45000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,256,63000
Б/у,Apple,16,2.7,4,4.7,Ультрабук,SSD,256,92000
Б/у,Apple,16,2.7,4,42.6,Ноутбук,SSD,1000,92000
Б/у,Apple,16,2.7,4,42.6,Ноутбук,SSD,512,69000
Б/у,NotApple,8,2.7,4,4.7,Ноутбук,SSD,256,41000
Б/у,Apple,16,2.2,4,4.7,Ноутбук,HDD + SSD,1000,35000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,256,48000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,256,49000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,256,62000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,512,11700
Б/у,NotApple,2,1.7,2,4.7,Ноутбук,HDD,512,12500
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,512,10700
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,HDD,512,14000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,HDD,1000,27000
Б/у,Apple,16,2.2,4,4.7,Ультрабук,SSD,512,86000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,15000
Б/у,NotApple,4,2.2,4,110,Ноутбук,HDD,512,12500
Б/у,NotApple,2,1.7,2,4.7,Нетбук,Другой тип накопителя,128,3000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,2,1.7,2,4.7,Нетбук,Другой тип накопителя,128,3000
Б/у,NotApple,16,2.7,4,106,Ноутбук,Другой тип накопителя,1000,135200
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,128,23000
Б/у,NotApple,16,2.2,8,60.9,Ноутбук,HDD + SSD,1000,75000
